MPO,LTF,NTRK1,BAIAP2
MPO,LTF,GSK3A,HNRNPU,MYD88
MPO,APOA1,JAK2,PTPN6,VIL1
MPO,APOA1,JAK2,PTPN6,DNAJC13
MPO,PRTN3,HSPA5,LOC102723407,SLC4A4
MPO,CAT,SOD1,ATOX1,AOC1
MPO,CAT,CCDC8,COPB1
MPO,CAT,JUP,CDH8
MPO,LTF,CHD3,ATAD5,RAB19
MPO,MPO-ANCA,ROS,SNCA,TRAF7
MPO,APOA1,JAK2,PTPN6,ADRB2,GRK3
MPO,APOA1,APOB,MDM2
MPO,LTF,TMEM237,ARF6,PCDHGA4
MPO,CAT,CFTR,PSMA2,LRRC8B
MPO,LTF,FRMD1,DSG3,EFNA2
MPO,LTF,CEBPA,C1QBP
MPO,LTF,S100A8,RPL35A,CDK7
MPO,APOA1,FBLN1,CCN2
MPO,LTF,NTRK1,BAIAP2,GNG7
MPO,CAT,ABL1,WNK2
MPO,LTF,NTRK1,BAIAP2,TMPRSS4
MPO,LTF,NTRK1,BAIAP2
MPO,APOA1,JAK2,PTPN6,PTGER3
MPO,LTF,NTRK1,BAIAP2
MPO,CAT,ABL1,WNK2
MPO,LTF,NTRK1,BAIAP2,TRHR
MPO,LTF,GSK3A,HNRNPU,CDH9
MPO,CAT,CCDC8,COPB1
MPO,LTF,NTRK1,BAIAP2
MPO,CAT,CCDC8,COPB1
MPO,LTF,ZNF250,TRIM54,ABCB4
MPO,APOA1,FBLN1,CCN2,FZD3
MPO,LTF,NTRK1,BAIAP2
MPO,APOA1,JAK2,PTPN6,GRIN2A
MPO,CAT,NFKB1,GLUL
MPO,LTF,GSK3A,HNRNPU,ATP6V1D
MPO,LTF,NTRK1,BAIAP2,ATP1A4
MPO,PRTN3,AGT,ACE2
MPO,APOA1,ABCA1,AOX1,PIP4K2C
MPO,APOA1,JAK2,PTPN6,ANOS1
MPO,APOA1,ABCA1,AOX1,PGRMC1,CYP2C8
MPO,APOA1,JAK2,PTPN6,RHBDF2
MPO,APOA1,JAK2,PTPN6,S100A6,EFR3B
MPO,APOA1,JAK2,PTPN6,ZNF136,SLC2A9
MPO,LTF,NTRK1,BAIAP2
MPO,APOA1,JAK2,PTPN6,EGFL7,ADAM21
MPO,APOA1,FBLN1,CCN2,ZNRF3
MPO,APOA1,APOB,MDM2
MPO,LTF,NTRK1,BAIAP2,FNBP1L
MPO,LTF,SLITRK2,NRAS,RGL3
MPO,APOA1,JAK2,PTPN6,LILRB3
MPO,LTF,NTRK1,BAIAP2,FXYD6
MPO,CAT,ABL1,WNK2
MPO,APOA1,JAK2,PTPN6,MGST3,AQP10
MPO,CAT,ABL1,WNK2
MPO,LTF,CEBPA,C1QBP
MPO,LTF,GSK3A,HNRNPU,THEM4
MPO,LTF,GSK3A,HNRNPU,FILIP1
MPO,LTF,CEBPA,C1QBP
MPO,APOA1,FGA,FGG,SGIP1
MPO,APOA1,JAK2,PTPN6,C1orf210
MPO,APOA1,FN1,COL1A1,FSHR
MPO,APOA1,JAK2,PTPN6,NPR1
MPO,APOA1,APOB,MDM2,SDC2
MPO,APOA1,JAK2,PTPN6,CD40
MPO,PRTN3,CCR1
MPO,APOA1,LCN1,HP,C4BPA
MPO,LTF,CEBPA,C1QBP,UGT8
MPO,CAT,NFKB1,GLUL
MPO,CAT,ABL1,WNK2
MPO,PRTN3,MIA3,RMDN3,ABCA6,ABCA8
MPO,APOA1,JAK2,PTPN6,NOS1
MPO,APOA1,JAK2,PTPN6,MUC2
MPO,APOA1,JAK2,PTPN6,CD82
MPO,APOA1,JAK2,PTPN6,EPB41L1
MPO,LTF,GSK3B,SMARCA2,SLC17A7
MPO,LTF,NTRK1,BAIAP2
MPO,PRTN3,DNAJA3,NDUFA5,PLSCR5
MPO,LTF,TMEM237,ARF6
MPO,LTF,NTRK1,BAIAP2,PCDHB16
MPO,CAT,LRRK2,ZC3H15,HTR3C
MPO,CAT,CCDC8,COPB1
MPO,LTF,NTRK1,BAIAP2
MPO,CAT,ABL1,WNK2,DRP2
MPO,LTF,OASL,HSPA6,CHMP6
MPO,APOA1,NAXE,RHOA,CRIM1
MPO,LTF,CHD4,EIF4G2,ABCA2
MPO,APOA1,JAK2,PTPN6,PIK3AP1
MPO,CAT,LRRK2,ZC3H15,PHKB
MPO,LTF,GSK3A,HNRNPU,STX1B
MPO,APOA1,ABCA1,AOX1,HTR2C
MPO,LTF,NTRK1,BAIAP2,ARL4A
MPO,CAT,ABL1,WNK2
MPO,APOA1
MPO,APOA1,FGA,FGG
MPO,CAT,CCDC8,COPB1
MPO,APOA1,LCN1,HP,CYBB
MPO,APOA1,FN1,COL1A1,RAB3GAP2
MPO,LTF,TMEM237,ARF6,CHP2
MPO,LTF,S100A8,RPL35A,SELENOS
MPO,CAT,SH2D3C,GSN,CHRNA3
MPO,CAT,ABL1,WNK2
MPO,CAT,NUDT12,EPS8L1
MPO,CAT,ACOX3,CENPH,GCA
MPO,CAT,ABL1,WNK2
MPO,LTF,NTRK1,BAIAP2
MPO,APOA1,ABCA1,AOX1,DRD3
MPO,CAT,JUP,CDH8
MPO,LTF,GSK3B,SMARCA2,KLRG1
MPO,APOA1,CLEC4G,PTPN5
MPO,APOA1,JAK2,PTPN6,KCNH7
MPO,LTF,S100A8,RPL35A,RAB40C
MPO,APOA1,JAK2,PTPN6,ASF1B,CDAN1
MPO,APOA1,APOE,ST13,CNTN4
MPO,MPO-ANCA,ROS,SNCA,P2RY8
MPO,APOA1,FBLN1,CCN2,SIGLECL1
MPO,LTF,GSK3A,HNRNPU,KCNN2
MPO,LTF,GSK3B,SMARCA2,GPR3
MPO,APOA1,APOB,MDM2,PCDHB1
MPO,CAT,DECR2,TMPRSS5
MPO,APOA1,FBLN1,CCN2,ATP11C
MPO,CAT,ABL1,WNK2
MPO,APOA1,JAK2,PTPN6,ZP2
MPO,APOA1,FBLN1,CCN2
MPO,CAT,CCDC8,COPB1
MPO,APOA1,JAK2,PTPN6,STAMBP
MPO,APOA1,APOB,MDM2,CD1E
MPO,APOA1,APOE,ST13,RAB9A
MPO,LTF,NTRK1,BAIAP2,PI4KA,TTC7B
MPO,APOA1,JAK2,PTPN6,OSBPL7
MPO,PRTN3,MIA3,RMDN3,STS
MPO,LTF,NTRK1,BAIAP2
MPO,APOA1,NAXE,RHOA,KIAA0319L
MPO,APOA1,FGA,FGG
MPO,CAT,PRDX2,SPR,NLGN4Y
MPO,CAT,NFKB1,GLUL
MPO,LTF,NTRK1,BAIAP2,SPN
MPO,LTF,CHD4,EIF4G2,TGFB3
MPO,LTF,ZNF250,TRIM54,TNFRSF19
MPO,APOA1,JAK2,PTPN6,LRIG3
MPO,APOA1,ABCA1,AOX1,HIPK3
MPO,LTF,CEBPA,C1QBP
MPO,APOA1,FBLN1,CCN2
MPO,APOA1,FBLN1,CCN2,WLS
MPO,LTF,NTRK1,BAIAP2
