ATP7B,NRG1,MYO19,FLNB
ATP7B,GOLGA1,NAV1,NUP62CL,KCNJ10
ATP7B,GOLGA1,VAMP2,EXOC3,ATP4B
ATP7B,ZBTB16,MTDH,CTCF,MTNR1B
ATP7B,copper(1+),SOD2,ENO3,MSRA
ATP7B,ZBTB16,MTDH,CTCF,ZMAT3
ATP7B,ZBTB16,REL,EIF5A2,GP2
ATP7B,ZBTB16,GATA1,CEBPE
ATP7B,NRG1,EGFR,IFIT5
ATP7B,copper(1+),SOD2,ENO3,DENND4C
ATP7B,NRG1,POMT1,PCDHGB4
ATP7B,ZBTB16,SMAD3,PPARG,LILRB1
ATP7B,NRG1,HLA-DPB1,HLA-DPA1
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ATOX1,ATP7A,OCLN,INPP5D
ATP7B,ZBTB16,GATA2,SSBP2,SLC34A3
ATP7B,copper(1+),SOD2,ENO3,FLT1
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,HDAC4,RFXANK,SLC23A1
ATP7B,ZBTB16,RARA,MED1,REEP2
ATP7B,ZBTB16,HTT,HADHA,GAS7
ATP7B,ZBTB16,RARA,MED1,SPARC
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,ESR1,STOM,APH1B
ATP7B,copper(1+),SOD1,RNF112,ITPR1
ATP7B,ZBTB16,HTT,HADHA,SLC16A9
ATP7B,copper(1+),SOD1,RNF112,UBR4
ATP7B,copper(1+),SOD1,RNF112,BAP1
ATP7B,copper(1+),SOD1,RNF112,TOM1
ATP7B,ZBTB16,HDAC6,H2BC13,CLCN7,MCOLN3
ATP7B,ZBTB16,TRAF1,TNFRSF13C,SLC14A1
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,ESR1,STOM
ATP7B,copper(1+),SOD1,RNF112,DOCK2
ATP7B,ZBTB16,MAP3K3,STUB1,GNG3
ATP7B,ZBTB16,CDK4,EPHA2
ATP7B,ZBTB16,VTA1,CHMP1B
ATP7B,NRG1,MYO19,FLNB
ATP7B,CLU,IKBKB,PSG1
ATP7B,NRG1,EGFR,IFIT5
ATP7B,NRG1,LIMK1,MBP
ATP7B,ZBTB16,GATA1,CEBPE
ATP7B,copper(1+),SOD1,RNF112,KCND3
ATP7B,copper(1+),SOD1,RNF112,PDZD7
ATP7B,ZBTB16,CDK4,EPHA2
ATP7B,copper(1+),SOD1,RNF112,CHP1
ATP7B,ZBTB16,AR,MID1,SPAM1
ATP7B,CLU,TXNDC11,DUOX2
ATP7B,copper(1+),SOD2,ENO3
ATP7B,ZBTB16,MTDH,CTCF,NCS1
ATP7B,GLRX,GOT2
ATP7B,copper(1+),SOD1,RNF112,CHRNA9
ATP7B,ZBTB16,TRAF2,LRRN2,TECTA
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,FHL3,ROR2,GHR
ATP7B,ZBTB16,MX1,TRPC7
