MT2A,SNCA,HSPA5,LOC102723407,KCNE3
MT2A,SNCA,HSPA1B,MATR3,PTPRU
MT2A,SNCA,ACTB,SMARCA4,NCR3LG1,MICA
MT2A,SNCA,DCLK1,TIAM1
MT2A,SNCA,DNAJB1,PTPN18,SNF8
MT2A,SNCA,DNAAF2,SNAP91,KCNG3
MT2A,SNCA,HNRNPH1,MSI2,CA9
MT2A,SNCA,PPP3CA,PARD3B,TESC
MT2A,SNCA,VAMP2,RHOG,STIM1
MT2A,SNCA,APP,NOTCH4
MT2A,SNCA,ER stress,QRICH1,PTAFR
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,EEF1A1,RPL13,TENT4B
MT2A,SNCA,VAMP2,RHOG,LAMP3
MT2A,SNCA,HSPA1B,MATR3,BRPF1
MT2A,SNCA,GNB2,PFDN2,PLP2
MT2A,SNCA,APP,NOTCH4,ADGRL3
MT2A,SNCA,DYNC1H1,RPGRIP1L
MT2A,SNCA,GNB2,PFDN2,EMC6,MMD
MT2A,SNCA,HSPA1B,MATR3,ITGAV
MT2A,SNCA,EEF1A1,RPL13,SLC25A31
MT2A,SNCA,VAMP2,RHOG,AQP5
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,EEF1A1,RPL13,SIRPD
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,SIAH2,UBE2D3,KLHL13,KIRREL2
MT2A,SNCA,DNAAF2,SNAP91,SLC7A3
MT2A,SNCA,HSPA1B,MATR3,ITGAX
MT2A,SNCA,HSPA1B,MATR3,HPN
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,HSPA1B,MATR3,NLRX1
MT2A,SNCA,SNAP25,SYT3
MT2A,SNCA,LYN,PKP4
MT2A,SNCA,DYNC1H1,RPGRIP1L
MT2A,SNCA,VAMP2,RHOG,FAT4
MT2A,SNCA,SRC,CRMP1,SGCE
MT2A,SNCA,HSPA1B,MATR3,C5,C8B
MT2A,SNCA,VAMP2,RHOG,FGFRL1
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,FYN,SLC4A8,TSPAN4
MT2A,SNCA,VAMP2,RHOG,GPD1L
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,EEF1A1,RPL13,FAM120A
MT2A,SNCA,DNAAF2,SNAP91,SLC16A3
MT2A,SNCA,DNAAF2,SNAP91,SLC16A4
MT2A,SNCA,HSPA1B,MATR3,TDGF1
MT2A,SNCA,SNCAIP,KALRN,ZNF687,PLCD4
MT2A,SNCA,EEF1A1,RPL13,NAA38,NAA35
MT2A,SNCA,SNCAIP,KALRN,PTPRCAP
MT2A,SNCA,VAMP2,RHOG,RAB23
MT2A,SNCA,VAMP2,RHOG,FNDC3A,OR6T1
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,HSPA1B,MATR3,OR4E2
MT2A,SNCA,HSPA8,PRKAG3,CRLF3
MT2A,SNCA,EEF1A1,RPL13,DKK1
