ABCG2
ATP7A
ATP7B
ERCC1
ERCC2
ERCC3
ERCC4
ERCC6
GSTM1
GSTP1
GSTT1
HMGB1
MLH1
MPO
MSH2
MSH6
MT1A
MT2A
NQO1
PMS2
POLB
POLH
POLM
REV3L
SLC31A1
SMARCA1
SOD1
XPA
